Created Output Log File for,p004,at,20240911_16h52m31s
n_trials,10
ISI_min,250
ISI_max,1250
ISI_step,250
pid,p004
experimenter_screen_width,3390
experimenter_screen_height,1080
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
buzz_width,384
buzz_height,360
alien_width,480
alien_height,270
fixation_width,200
fixation_height,200
press_a_width,600
press_a_height,400
====== Trial: 1 ======
ISI,250
trial_type,buzz
start_time,1726073552.6609633
time_to_first_a_press,0.4950432777404785
result,hit
pressed_a_num_of_times,1
full_second_has_passed,True
====== Trial: 2 ======
ISI,500
trial_type,alien
start_time,1726073554.191221
time_to_first_a_press,0.3336217403411865
result,false alarm
pressed_a_num_of_times,1
full_second_has_passed,True
====== Trial: 3 ======
ISI,1000
trial_type,buzz
start_time,1726073556.2255182
time_to_first_a_press,0.033783674240112305
result,hit
pressed_a_num_of_times,2
full_second_has_passed,True
====== Trial: 4 ======
ISI,500
trial_type,buzz
start_time,1726073557.7583861
time_to_first_a_press,0.34964847564697266
result,hit
pressed_a_num_of_times,1
full_second_has_passed,True
