Created Output Log File: /workdir/tasks_run/data/rifg_logs/p004_rifg_task_20241002_10h02m45s.csv
====== whole_session_data ======
pid,p004
output_log_dir,/workdir/tasks_run/data/rifg_logs/p004_rifg_task_20241002_10h02m02s.txt
script_starting_time,2024-10-02 10:02:02.102459
sambashare_dir_path,/workdir/tasks_run/data/sambashare
starting_block,1
retries_before_ending,3
n_trials,192
ISI_min,250
ISI_max,1250
ISI_step,250
experimenter_screen_width,3390
experimenter_screen_height,1038
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
buzz_width,320
buzz_height,360
bear_width,320
bear_height,360
press_a_width,600
press_a_height,400
fixation_width,200
fixation_height,200
ending_cause,keyboard_interrupt
====== trial1 ======
ISI,250
trial_type,buzz
start_time,1727877755.0403
pressed_a_num_of_times,0
result,miss
half_second_has_passed,True
====== trial2 ======
ISI,500
trial_type,bear
start_time,1727877756.120188
pressed_a_num_of_times,0
result,correct rejection
half_second_has_passed,True
====== trial3 ======
ISI,1000
trial_type,buzz
start_time,1727877757.7009525
time_to_first_a_press,0.05798220634460449
result,hit
pressed_a_num_of_times,1
half_second_has_passed,True
====== trial4 ======
ISI,500
trial_type,buzz
start_time,1727877758.7697577
time_to_first_a_press,0.057422637939453125
result,hit
pressed_a_num_of_times,1
half_second_has_passed,True
====== trial5 ======
ISI,500
trial_type,buzz
start_time,1727877759.8529537
time_to_first_a_press,0.35445475578308105
result,hit
pressed_a_num_of_times,1
half_second_has_passed,True
====== trial6 ======
ISI,500
trial_type,buzz
start_time,1727877760.9356854
time_to_first_a_press,0.3535430431365967
result,hit
pressed_a_num_of_times,1
half_second_has_passed,True
====== trial7 ======
ISI,500
trial_type,buzz
start_time,1727877762.0197926
time_to_first_a_press,0.3539893627166748
result,hit
pressed_a_num_of_times,1
half_second_has_passed,True
====== trial8 ======
ISI,250
trial_type,buzz
start_time,1727877762.8590171
time_to_first_a_press,0.46465182304382324
result,hit
pressed_a_num_of_times,1
half_second_has_passed,True
====== trial9 ======
ISI,1000
trial_type,buzz
start_time,1727877764.441021
time_to_first_a_press,0.3308725357055664
result,hit
pressed_a_num_of_times,1
half_second_has_passed,True
====== trial10 ======
ISI,750
